Акрукс;ООО «Акрукс-Инжиниринг»
АРТ-Глас;ООО «УК АРТ-Глас»
Аваллон;ООО «НП АВАЛЛОН ЛИМИТЕД»
Аккорд;ООО САЛОН МУЗЫКАЛЬНЫХ ИНСТРУМЕНТОВ «АККОРД»
АртСтудия;ООО «Художественно-реставрационная группа «АртСтудия»
Геореконструкция;ООО «ИСП «ГЕОРЕКОНСТРУКЦИЯ»
ДОКА;АО «ДОКА-ЦЕНТР»
Матис;ООО «Матис»
Метеор;ООО «Метеор Лифт»
Отдел строй;ООО СК «Отдел строй»
ПОЛИТЕХСТРОЙ;АО «ПОЛИТЕХСТРОЙ»
Проспект-В;ООО «Проспект-В»
Р.П.С.;ООО «РЕСТАВРАЦИЯ. ПРОЕКТИРОВАНИЕ. СТРОИТЕЛЬСТВО»
Сварго;ООО «СВАРГО»
Святогор;ООО «СК Святогор»
Элитруф;ООО «Элитруф» 
